t,n,x_n,y_n,x_degenerate,y_degenerate
22.776,541,270,271,0,0
22.801,541,270,271,0,0
22.826,537,268,269,0,0
22.851,531,265,266,0,0
22.876,541,270,271,0,0
22.901,533,266,267,0,0
22.926,541,270,271,0,0
22.951,541,270,271,0,0
22.976,541,270,271,0,0
23.001,541,270,271,0,0
23.026,541,270,271,0,0
23.051,541,270,271,0,0
23.076,534,267,267,0,0
23.101,541,270,271,0,0
23.126,541,270,271,0,0
23.151,534,267,267,0,0
23.176,541,270,271,0,0
23.201,533,266,267,0,0
23.226,541,270,271,0,0
23.251,537,268,269,0,0
23.276,537,268,269,0,0
23.301,541,270,271,0,0
23.326,541,270,271,0,0
23.351,541,270,271,0,0
23.376,541,270,271,0,0
23.401,541,270,271,0,0
23.426,537,268,269,0,0
23.451,541,270,271,0,0
23.476,541,270,271,0,0
23.501,534,267,267,0,0
23.526,541,270,271,0,0
23.551,541,270,271,0,0
23.576,541,270,271,0,0
23.601,541,270,271,0,0
23.626,541,270,271,0,0
23.651,541,270,271,0,0
23.676,541,270,271,0,0
23.701,541,270,271,0,0
23.726,541,270,271,0,0
23.751,541,270,271,0,0
23.776,541,270,271,0,0
23.801,541,270,271,0,0
23.826,541,270,271,0,0
23.851,541,270,271,0,0
23.876,541,270,271,0,0
23.901,541,270,271,0,0
23.926,541,270,271,0,0
23.951,541,270,271,0,0
23.976,541,270,271,0,0
24.001,541,270,271,0,0
24.026,541,270,271,0,0
24.051,541,270,271,0,0
24.076,541,270,271,0,0
24.101,541,270,271,0,0
24.126,541,270,271,0,0
24.151,541,270,271,0,0
24.176,541,270,271,0,0
24.201,541,270,271,0,0
24.226,541,270,271,0,0
24.251,541,270,271,0,0
24.276,541,270,271,0,0
24.301,541,270,271,0,0
24.326,541,270,271,0,0
24.351,541,270,271,0,0
24.376,541,270,271,0,0
24.401,541,270,271,0,0
24.426,541,270,271,0,0
24.451,541,270,271,0,0
24.476,541,270,271,0,0
24.501,541,270,271,0,0
24.526,541,270,271,0,0
24.551,541,270,271,0,0
24.576,541,270,271,0,0
24.601,541,270,271,0,0
24.626,541,270,271,0,0
24.651,541,270,271,0,0
24.676,541,270,271,0,0
24.701,541,270,271,0,0
24.726,541,270,271,0,0
24.751,541,270,271,0,0
24.776,541,270,271,0,0
24.801,541,270,271,0,0
24.826,541,270,271,0,0
24.851,541,270,271,0,0
24.876,541,270,271,0,0
24.901,541,270,271,0,0
24.926,541,270,271,0,0
24.951,541,270,271,0,0
24.976,541,270,271,0,0
25.001,541,270,271,0,0
25.026,541,270,271,0,0
25.051,541,270,271,0,0
25.076,541,270,271,0,0
25.101,541,270,271,0,0
25.126,541,270,271,0,0
25.151,541,270,271,0,0
25.176,541,270,271,0,0
25.201,541,270,271,0,0
25.226,541,270,271,0,0
25.251,541,270,271,0,0
25.276,541,270,271,0,0
25.301,541,270,271,0,0
25.326,541,270,271,0,0
25.351,541,270,271,0,0
25.376,541,270,271,0,0
25.401,541,270,271,0,0
25.426,541,270,271,0,0
25.451,541,270,271,0,0
25.476,541,270,271,0,0
25.501,541,270,271,0,0
25.526,541,270,271,0,0
25.551,541,270,271,0,0
25.576,541,270,271,0,0
25.601,541,270,271,0,0
25.626,541,270,271,0,0
25.651,541,270,271,0,0
25.676,541,270,271,0,0
25.701,541,270,271,0,0
25.726,541,270,271,0,0
25.751,541,270,271,0,0
25.776,541,270,271,0,0
25.801,541,270,271,0,0
25.826,541,270,271,0,0
25.851,541,270,271,0,0
25.876,541,270,271,0,0
25.901,541,270,271,0,0
25.926,541,270,271,0,0
25.951,541,270,271,0,0
25.976,541,270,271,0,0
26.001,541,270,271,0,0
26.026,541,270,271,0,0
26.051,541,270,271,0,0
26.076,541,270,271,0,0
26.101,541,270,271,0,0
26.126,541,270,271,0,0
26.151,541,270,271,0,0
26.176,541,270,271,0,0
26.201,541,270,271,0,0
26.226,541,270,271,0,0
26.251,541,270,271,0,0
26.276,541,270,271,0,0
26.301,541,270,271,0,0
26.326,541,270,271,0,0
26.351,541,270,271,0,0
26.376,541,270,271,0,0
26.401,541,270,271,0,0
26.426,541,270,271,0,0
26.451,541,270,271,0,0
26.476,541,270,271,0,0
26.501,541,270,271,0,0
26.526,541,270,271,0,0
26.551,541,270,271,0,0
26.576,537,268,269,0,0
26.601,541,270,271,0,0
26.626,541,270,271,0,0
26.651,541,270,271,0,0
26.676,541,270,271,0,0
26.701,541,270,271,0,0
26.726,537,268,269,0,0
26.751,541,270,271,0,0
